year_month,show_title,weekly_hours_viewed,month_end,Date,Close,title_wrapped
2021-07,Sex/Life,156590000,2021-07-31,2021-07-30 00:00:00-04:00,517.5700073242188,Sex/Life
2021-08,Outer Banks,205490000,2021-08-31,2021-08-31 00:00:00-04:00,569.1900024414062,Outer Banks
2021-09,Squid Game,448730000,2021-09-30,2021-09-30 00:00:00-04:00,610.3400268554688,Squid Game
2021-10,Squid Game,1333640000,2021-10-31,2021-10-29 00:00:00-04:00,690.3099975585938,Squid Game
2021-11,Red Notice,277830000,2021-11-30,2021-11-30 00:00:00-05:00,641.9000244140625,Red Notice
2021-12,Money Heist,337870000,2021-12-31,2021-12-31 00:00:00-05:00,602.4400024414062,Money Heist
2022-01,Café con aroma de mujer,195210000,2022-01-31,2022-01-31 00:00:00-05:00,427.1400146484375,Café con aro<br>ma de mujer
2022-02,All of Us Are Dead,349470000,2022-02-28,2022-02-28 00:00:00-05:00,394.5199890136719,All of Us Ar<br>e Dead
2022-03,Bridgerton,193020000,2022-03-31,2022-03-31 00:00:00-04:00,374.5899963378906,Bridgerton
2022-04,Bridgerton,367490000,2022-04-30,2022-04-29 00:00:00-04:00,190.36000061035156,Bridgerton
2022-05,Stranger Things,286790000,2022-05-31,2022-05-31 00:00:00-04:00,197.44000244140625,Stranger Thi<br>ngs
2022-06,Stranger Things,596510000,2022-06-30,2022-06-30 00:00:00-04:00,174.8699951171875,Stranger Thi<br>ngs
2022-07,Stranger Things,591800000,2022-07-31,2022-07-29 00:00:00-04:00,224.89999389648438,Stranger Thi<br>ngs
2022-08,The Sandman,127500000,2022-08-31,2022-08-31 00:00:00-04:00,223.55999755859375,The Sandman
2022-09,Cobra Kai,202250000,2022-09-30,2022-09-30 00:00:00-04:00,235.44000244140625,Cobra Kai
2022-10,DAHMER,505170000,2022-10-31,2022-10-31 00:00:00-04:00,291.8800048828125,DAHMER
2022-11,Wednesday,341230000,2022-11-30,2022-11-30 00:00:00-05:00,305.5299987792969,Wednesday
2022-12,Wednesday,973460000,2022-12-31,2022-12-30 00:00:00-05:00,294.8800048828125,Wednesday
2023-01,Ginny & Georgia,430590000,2023-01-31,2023-01-31 00:00:00-05:00,353.8599853515625,Ginny & Geor<br>gia
2023-02,You,156130000,2023-02-28,2023-02-28 00:00:00-05:00,322.1300048828125,You
2023-03,The Glory,248050000,2023-03-31,2023-03-31 00:00:00-04:00,345.4800109863281,The Glory
2023-04,The Night Agent,436910000,2023-04-30,2023-04-28 00:00:00-04:00,329.92999267578125,The Night Ag<br>ent
2023-05,Queen Charlotte: A Bridgerton Story,306960000,2023-05-31,2023-05-31 00:00:00-04:00,395.2300109863281,Queen Charlo<br>tte: A Bridg<br>erton Story
2023-06,Extraction 2,175700000,2023-06-30,2023-06-30 00:00:00-04:00,440.489990234375,Extraction 2
2023-07,King the Land,181400000,2023-07-31,2023-07-31 00:00:00-04:00,438.9700012207031,King the Lan<br>d
2023-08,Heart of Stone,143600000,2023-08-31,2023-08-31 00:00:00-04:00,433.67999267578125,Heart of Sto<br>ne
2023-09,ONE PIECE,361300000,2023-09-30,2023-09-29 00:00:00-04:00,377.6000061035156,ONE PIECE
2023-10,Lupin,141800000,2023-10-31,2023-10-31 00:00:00-04:00,411.69000244140625,Lupin
2023-11,Squid Game: The Challenge,85700000,2023-11-30,2023-11-30 00:00:00-05:00,473.9700012207031,Squid Game: <br>The Challeng<br>e
2023-12,Leave the World Behind,204900000,2023-12-31,2023-12-29 00:00:00-05:00,486.8800048828125,Leave the Wo<br>rld Behind
2024-01,Fool Me Once,463200000,2024-01-31,2024-01-31 00:00:00-05:00,564.1099853515625,Fool Me Once
2024-02,Griselda,171000000,2024-02-29,2024-02-29 00:00:00-05:00,602.9199829101562,Griselda
2024-03,The Gentlemen,215700000,2024-03-31,2024-03-28 00:00:00-04:00,607.3300170898438,The Gentleme<br>n
2024-04,Queen of Tears,140100000,2024-04-30,2024-04-30 00:00:00-04:00,550.6400146484375,Queen of Tea<br>rs
2024-05,Bridgerton,258000000,2024-05-31,2024-05-31 00:00:00-04:00,641.6199951171875,Bridgerton
2024-06,Bridgerton,407700000,2024-06-30,2024-06-28 00:00:00-04:00,674.8800048828125,Bridgerton
2024-07,Desperate Lies,162000000,2024-07-31,2024-07-31 00:00:00-04:00,628.3499755859375,Desperate Li<br>es
2024-08,The Accident,76600000,2024-08-31,2024-08-30 00:00:00-04:00,701.3499755859375,The Accident
2024-09,Monsters,251300000,2024-09-30,2024-09-30 00:00:00-04:00,709.27001953125,Monsters
2024-10,Monsters,172200000,2024-10-31,2024-10-31 00:00:00-04:00,756.030029296875,Monsters
2024-11,Jake Paul vs. Mike Tyson,224800000,2024-11-30,2024-11-29 00:00:00-05:00,886.8099975585938,Jake Paul vs<br>. Mike Tyson
2024-12,Squid Game,487600000,2024-12-31,2024-12-31 00:00:00-05:00,891.3200073242188,Squid Game
2025-01,Squid Game,700200000,2025-01-31,2025-01-31 00:00:00-05:00,976.760009765625,Squid Game
